News_ID,Website,Category,Headline,URL,Top_Image,Date,author
7160,times of india,['entertainment'],Photos: Here’s a sneak peek into Dharmendra’s lavish 100-acre Lonavala farmhouse,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/photos-heres-a-sneak-peek-into-dharmendras-lavish-100-acre-lonavala-farmhouse/articleshow/78641776.cms,"https://static.toiimg.com/thumb/msid-78641776,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-803666/78641776.jpg",,[]
7161,times of india,['entertainment'],"Watch: Taapsee Pannu's hilarious 'Biggini Shoot' video with boyfriend Mathias Boe and sisters grabs everyone's attention; Anushka Sharma, Varun Dhawan and others comment",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/watch-taapsee-pannus-hilarious-biggini-shoot-video-with-boyfriend-mathias-boe-and-sisters-grabs-everyones-attention-anushka-sharma-varun-dhawan-and-others-comment/articleshow/78634841.cms,"https://static.toiimg.com/thumb/msid-78634851,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-245482/78634851.jpg",,[]
7162,times of india,['entertainment'],Sushant Singh Rajput's sister Shweta shares an inspiring video of the late actor on his four-month death anniversary,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/sushant-singh-rajputs-sister-shweta-shares-an-inspiring-video-of-the-late-actor-on-his-four-month-death-anniversary/articleshow/78649499.cms,"https://static.toiimg.com/thumb/msid-78649835,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-71223/78649835.jpg",,[]
7163,times of india,['entertainment'],Anushka Sharma-Virat Kohli to Tiger Shroff-Disha Patani: Monochrome photos of celebrity couples you can't miss!,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/anushka-sharma-virat-kohli-to-tiger-shroff-disha-patani-monochrome-photos-of-celebrity-couples-you-cant-miss/photostory/78639916.cms,https://static.toiimg.com/photo/78639916.cms,2020-10-14 09:00:00+05:30,[]
7164,times of india,['entertainment'],Photos of Taapsee Pannu and boyfriend Mathias Boe from their Maldives getaway are too cute to miss,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/photos-of-taapsee-pannu-and-boyfriend-mathias-boe-from-their-maldives-getaway-are-too-cute-to-miss/articleshow/78640069.cms,"https://static.toiimg.com/thumb/msid-78640266,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-160803/78640266.jpg",,[]
7165,times of india,['entertainment'],"Jacqueline Fernandez is back to work, poses for a happy picture on set",https://timesofindia.indiatimes.com/entertainment/hindi/jacqueline-fernandez-is-back-to-work-poses-for-a-happy-picture-on-set/videoshow/78635063.cms,https://timesofindia.indiatimes.com/photo/78635063/size-701491/78635063.jpg,,[]
7166,times of india,['entertainment'],Nawazuddin Siddiqui shares teaser of his upcoming project,https://timesofindia.indiatimes.com/entertainment/hindi/nawazuddin-siddiqui-shares-teaser-of-his-upcoming-project/videoshow/78653270.cms,https://timesofindia.indiatimes.com/photo/78653270/size-539304/78653270.jpg,,[]
7167,times of india,['entertainment'],Sushant Singh Rajput's sister Shweta urges fans to come together in the fight for justice and truth; kickstarts the #MannKiBaat4SSR initiative,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/sushant-singh-rajputs-sister-urges-fans-to-raise-their-voice-for-justice-and-truth-on-mannkibaat4ssr-initiative/articleshow/78634237.cms,"https://static.toiimg.com/thumb/msid-78634256,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-330370/78634256.jpg",,[]
7168,times of india,['entertainment'],Rohman Shawl is the perfect boyfriend as he opens car door for his ladylove Sushmita Sen,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/rohman-shawl-is-the-perfect-boyfriend-as-he-opens-the-car-door-for-his-ladylove-sushmita-sen/articleshow/78633050.cms,"https://static.toiimg.com/thumb/msid-78633148,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-541985/78633148.jpg",,[]
7169,times of india,['entertainment'],Mira Rajput shares a picture of Sel Bread and talks about how her Sindhi cuisine has got Punjabi tadka over time,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/mira-rajput-shares-a-picture-of-sel-bread-and-talks-about-how-her-sindhi-cuisine-has-got-punjabi-tadka-over-time/articleshow/78635338.cms,"https://static.toiimg.com/thumb/msid-78635332,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-518709/78635332.jpg",,[]
